,Date,Comp,CompID,Score,industry,totalRevenue,totalDebt,fullTimeEmployees
0,11.02.2004,SU,GN63J3-R,0.9537270483805632,Oil & Gas Integrated,34597998592.0,18979999744.0,12591.0
1,25.02.2004,SU,GN63J3-R,0.9405023741403996,Oil & Gas Integrated,34597998592.0,18979999744.0,12591.0
2,10.03.2004,SU,GN63J3-R,0.9429206410233181,Oil & Gas Integrated,34597998592.0,18979999744.0,12591.0
3,24.03.2004,SU,GN63J3-R,0.9323091916838272,Oil & Gas Integrated,34597998592.0,18979999744.0,12591.0
4,30.01.2008,SU,GN63J3-R,0.6218935749367859,Oil & Gas Integrated,34597998592.0,18979999744.0,12591.0
5,13.02.2008,SU,GN63J3-R,0.6288986817186927,Oil & Gas Integrated,34597998592.0,18979999744.0,12591.0
6,26.03.2008,SU,GN63J3-R,0.5844459670881585,Oil & Gas Integrated,34597998592.0,18979999744.0,12591.0
7,05.12.2018,SU,GN63J3-R,0.6343098607528534,Oil & Gas Integrated,34597998592.0,18979999744.0,12591.0
8,19.12.2018,SU,GN63J3-R,0.5960697709781642,Oil & Gas Integrated,34597998592.0,18979999744.0,12591.0
9,11.02.2004,GGG,H5490W-R,0.9527531038554632,Specialty Industrial Machinery,1918328960.0,240120992.0,3700.0
10,25.02.2004,GGG,H5490W-R,0.9532497662107408,Specialty Industrial Machinery,1918328960.0,240120992.0,3700.0
11,10.03.2004,GGG,H5490W-R,0.9558260931277288,Specialty Industrial Machinery,1918328960.0,240120992.0,3700.0
12,24.03.2004,GGG,H5490W-R,0.9542269428794912,Specialty Industrial Machinery,1918328960.0,240120992.0,3700.0
13,03.11.2004,GGG,H5490W-R,0.7198221277596752,Specialty Industrial Machinery,1918328960.0,240120992.0,3700.0
14,23.10.2013,GGG,H5490W-R,0.7048632773425052,Specialty Industrial Machinery,1918328960.0,240120992.0,3700.0
15,27.02.2019,GGG,H5490W-R,0.6517366666816651,Specialty Industrial Machinery,1918328960.0,240120992.0,3700.0
16,13.03.2019,GGG,H5490W-R,0.6485015091841636,Specialty Industrial Machinery,1918328960.0,240120992.0,3700.0
17,27.03.2019,GGG,H5490W-R,0.6432357697343944,Specialty Industrial Machinery,1918328960.0,240120992.0,3700.0
18,11.02.2004,WGR,V0622Q-R,0.9476341407860532,,,,
19,25.02.2004,WGR,V0622Q-R,0.9484397600122664,,,,
20,10.03.2004,WGR,V0622Q-R,0.9510807948275144,,,,
21,24.03.2004,WGR,V0622Q-R,0.9526684508943056,,,,
22,03.11.2004,WGR,V0622Q-R,0.6972016801540281,,,,
23,11.02.2004,CWT,GSWXLY-R,0.9341805987997436,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
24,25.02.2004,CWT,GSWXLY-R,0.9348702684442802,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
25,10.03.2004,CWT,GSWXLY-R,0.8975244420133648,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
26,12.01.2005,CWT,GSWXLY-R,0.7201808537518032,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
27,26.01.2005,CWT,GSWXLY-R,0.7422068219490265,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
28,09.02.2005,CWT,GSWXLY-R,0.7338147509068365,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
29,23.02.2005,CWT,GSWXLY-R,0.7350638955904911,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
30,23.08.2017,CWT,GSWXLY-R,0.6337055753210596,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
31,06.09.2017,CWT,GSWXLY-R,0.6536323034268388,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
32,20.09.2017,CWT,GSWXLY-R,0.6712129530463382,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
33,04.10.2017,CWT,GSWXLY-R,0.6805999995754591,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
34,18.10.2017,CWT,GSWXLY-R,0.6703754508937555,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
35,01.11.2017,CWT,GSWXLY-R,0.6601403286212232,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
36,15.11.2017,CWT,GSWXLY-R,0.6578286869084005,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
37,29.11.2017,CWT,GSWXLY-R,0.6710716970431354,Utilities—Regulated Water,806734976.0,1184903936.0,1192.0
